Saggio;EsitoSaggio;Molecola;Fonte;Note
AMMINE TERZIARIE (ACIDO CITRICO E ANIDRIDE ACETICA);NEGATIVO;FENOTIAZINA;DAZEBAO;
ACIDO OSSALICO (ACETATI);NEGATIVO;PREDNISONE;SCHEDE;
ACIDO OSSALICO (ACETATI);NEGATIVO;SODIO CITRATO;SCHEDE;
ACIDO OSSALICO (ACETATI);POSITIVO;IDROCORTISONE ACETATO;SCHEDE;
ACIDO OSSALICO (ACETATI);POSITIVO;SODIO ACETATO;SCHEDE;
ACQUA DI BROMO (FENOTIAZINE);POSITIVO;CLORPROMAZINA HCl;DAZEBAO;COLORAZIONE ROSSA
ACQUA DI BROMO (FENOTIAZINE);POSITIVO;PROMETAZINA HCl;SCHEDE;ROSSO
OSSIDAZIONE ACQUA DI BROMO;NEGATIVO;CLORBUTANOLO;SCHEDE;
OSSIDAZIONE ACQUA DI BROMO;NEGATIVO;DAPSONE;DAZEBAO;COLORAZIONE RIMANE GIALLA
OSSIDAZIONE ACQUA DI BROMO;NEGATIVO;IDROCORTISONE;DAZEBAO;
OSSIDAZIONE ACQUA DI BROMO;NEGATIVO;METRONIDAZOLO;;
OSSIDAZIONE ACQUA DI BROMO;NEGATIVO;POTASSIO TARTRATO;SCHEDE;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;ACIDO ASCORBICO;DAZEBAO;DECOLORAZIONE
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;ACIDO SORBICO;SCHEDE;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;CAFFEINA;DAZEBAO;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;CHINIDINA SOLFATO;SCHEDE;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;AROMATICO
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;POTASSIO SORBATO;SCHEDE;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;PROPIFENAZONE;DAZEBAO;DECOLORAZIONE E FORMAZIONE PPT BIANCO
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;SACCARINA SODICA;SCHEDE;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;SULFADIAZINA;SCHEDE;DECOLORAZIONE, PPT BIANCO
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;SULFAGUANIDINA;DAZEBAO;AROMATICO
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;TEOBROMINA;DAZEBAO;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;TIAMINA HCl;SCHEDE;
OSSIDAZIONE ACQUA DI BROMO;POSITIVO;VANILLINA;SCHEDE;AROMATICO
