Molecola;SMILES;OSSIDAZIONE ACQUA DI BROMO
ACETILCISTEINA;CC(=O)N[C@@H](CS)C(=O)O;
ACIDO ACETILSALICILICO;CC(=O)OC1=CC=CC=C1C(=O)O;
ACIDO ASCORBICO;C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O;1
ACIDO BENZOICO;C1=CC=C(C=C1)C(=O)O;
ACIDO CITRICO;C(C(=O)O)C(CC(=O)O)(C(=O)O)O;
ACIDO NICOTINICO;C1=CC(=CN=C1)C(=O)O;
ACIDO SALICILICO;C1=CC=C(C(=C1)C(=O)O)O;
ACIDO SORBICO;C/C=C/C=C/C(=O)O;1
ACIDO TANNICO;C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H](C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O;
ACIDO TARTARICO;[C@H]([C@@H](C(=O)O)O)(C(=O)O)O;
ALANINA;C[C@@H](C(=O)O)N;1
ASPARTAME;COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N;
BENZOCAINA;CCOC(=O)C1=CC=C(C=C1)N;
CAFFEINA;CN1C=NC2=C1C(=O)N(C(=O)N2C)C;1
CALCIO GLICEROFOSFATO;C(C(CO)OP(=O)([O-])[O-])O.[Ca+2];
CALCIO GLUCONATO;C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ca+2];
CALCIO LATTATO;CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2];
CALCIO PANTOTENATO;CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O;
CAPTOPRIL;C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O;1
CHINIDINA SOLFATO;COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O;1
CHININA HCl;COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O;
CHININA SOLFATO;COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O;1
