id;nome saggio;descrizione;img;molecola interessata;rif saggio temp;visualizza grafico
63;ACIDO CROMOTROPICO;Mescolare in provetta una piccola quantità di sostanza (5 mg) con una pari quantità del sale sodico dell’acido cromotropico. Aggiungere in provetta circa 2 ml di acido solforico (H2SO4) concentrato, e poi scaldare a b.m. per qualche minuto (piastra riscaldante posta sotto cappa, non allontanarsi);;;63;1
2;ACIDO OSSALICO (ACETATI);Prelevare circa 50 mg di sostanza e disporla in una capsula di porcellana. Aggiungere una pari quantità (circa) di acido ossalico. Triturare la sospensione solida ed eventualmente scaldare la capsula leggermente su bunsen. Il saggio è positivo se si sviluppa un odore caratteristico di aceto.;;;2;1
3;ACQUA DI BROMO (FENOTIAZINE);"Sciogliere circa 10-20 mg di sostanza in circa 5 ml di H2O ed aggiungere qualche goccia del reattivo chiamato “acqua di bromo”, che ha una tipica colorazione arancio-bruna. Il saggio è positivo se la soluzione si decolora. Misurando il pH si possono avere informazioni aggiuntive: pH acido è indice della formazione di acido bromidrico (HBr) e può indicare la presenza nella molecola di una porzione aromatica. Note: i) Le specie che reagiscono bene sono alcheni, enoli, aniline. ii) Per le insaturazioni olefiniche, avviene con stereochimica trans. iii) Con le fenotiazine si ottiene una colorazione rossa. iv) Saggio utilizzabile per identificazione dei sulfamidici (“falso negativo” = Ftalil-sulfatiazolo; “falso positivo” = Idroclorotiazide) usando un volume minore di acqua (circa 1 ml); si osserva la formazione di un precipitato bianco e pH acido. iv) Saggio utilizzabile per identificazione degli alcaloidi chinolinici aggiungendo alla soluzione anche 1 ml di idrossido di ammonio diluito (NH4OH 2N): il saggio (reazione della Talleiochina) è positivo se si sviluppa un’intensa colorazione verde smeraldo chiaro (Chinina e Chinidina danno saggio positivo, Clorochina negativo.";;;3;0
6;AgNO3 (ALOGENURI);"aggiungere HNO3 2N fino a pH = 0 (cartina tornasole rossa) e successivamente AgNO3 al 4%. Si osserva un ppt caseoso, il cui colore dipende dall’alogenuro coinvolto. Per confermare l’identità dell’alogenuro, effettuare il test di solubilità con idrossido d’ammonio (NH4OH): aggiungere NH4OH diluito, ed osservare il comportamento; successivamente aggiungere NH4OH concentrato ed osservare il comportamento. ";;;6;1
7;AgNO3 (XANTINE);Preparare una soluzione della sostanza, sciogliendo circa 10 mg di sostanza in circa 2 ml di acqua, e scaldare a b.m. Aggiungere una soluzione acquosa (4%) di nitrato d’argento (AgNO3). Il saggio è positivo se si forma un precipitato gelatinoso. Note: i) Per la caffeina il saggio è negativo, per le altre xantine il saggio è positivo.;;;7;1
5;AgNO3 & NH4OH (FOSFATI);Sciogliere circa 20 mg di sostanza in circa 2 ml di H2O (o di HNO3 2N, neutralizzato fino a pH=7 mediante NaOH 2N). Aggiungere (circa) 1-2 ml di NH4OH 6N. In presenza di Magnesio si ha la formazione dell’idrossido di magnesio, Mg(OH)2, riconoscibile come precipitato gelatinoso bianco. Poiché in soluzione è presente anche lo ione NH4+, in seguito ad aggiunta di NH4Cl 10% l’equilibrio si sposta e il precipitato si scioglie. Aggiungere 1-2 ml di sodio fosfato acido (9% acq.), Na2HPO4. Il saggio è positivo se si forma un precipitato bianco cristallino di fosfato ammonio-magnesiaco (NH4)MgPO4.;;;5;1
20;AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);Preparare una soluzione della sostanza, sciogliendo circa 10 mg di sostanza in circa 1 ml di acido cloridrico diluito (HCl 2N). Preparare una soluzione acquosa (10%) di nitrito di sodio (NaNO2). Aggiungerne poche gocce alla soluzione della sostanza (o alla soluzione filtrata, vedi saggio per la ricerca del gruppo NO2). Raffreddare la provetta e controllare il pH (deve essere leggermente acido). Poi aggiungere 1 ml di una soluzione (5%) già pronta di β-naftolo (soluzione leggermente basica, con proporzione 6:4 di H2O e NaOH 2N). In presenza di ammina primaria aromatica, la reazione con nitrito di sodio porterà alla formazione di un sale di diazonio, che poi reagirà con il β-naftolo. Il saggio è positivo se si sviluppa una colorazione rosso-arancio, con possibile formazione di precipitato. Note: i) È importante controllare il pH della soluzione prima di aggiungere il β-naftolo, che dovrà essere leggermente acido. Infatti, è necessario che l’ammina sia in forma libera e non come sale (quindi un ambiente fortemente acido non va bene), ma anche che il sale di diazonio sia libero di reagire (quindi un ambiente basico non va bene perché lo disattiva). ii) Danno il saggio positivo Benzocaina, Procaina, Procainammide, Dapsone, p-amminosalicilato, i sulfamidici e le sostanze con gruppo NO2 ridotto ad ammina primaria (vedi saggio precedente). iii) I sulfamidici con funzione ammidica (Ftalilsulfatiazolo) devono essere prima idrolizzati come descritto nella sezione dedicata alla base di Schiff. iv) Metrozidazolo da colorazione gialla con ppt bianco).;;;20;1
1;AMMINE TERZIARIE (ACIDO CITRICO E ANIDRIDE ACETICA);Preparare una soluzione sciogliendo a b.m. 100 mg di acido citrico in 5 ml di anidride acetica. Aggiungere 20 mg di sostanza e continuare a riscaldare fino alla comparsa di una colorazione rosso-porpora intensa. Note: i) Ammine primarie e secondarie non reagiscono.;;;1;1
12;AMMINE TERZIARIE (BOUCHARDAT);Preparare una soluzione della sostanza, sciogliendo circa 50 mg di sostanza in circa 5 ml di acqua (se necessario aggiungere acido cloridrico diluito, HCl 2N) o etanolo. Aggiungere 1ml di reattivo di Bouchardat (Soluzione di Lugol iodo-iodurata (KI3)-1 con formazione finale di iodati (IO3-)), che è positiva se si osserva colorazione o ppt di colore rosso-scuro (da rosso-arancio a marrone);;;12;1
21;AMMINE TERZIARIE (DRAGENDORFF);Preparare una soluzione della sostanza, sciogliendo circa 50 mg di sostanza in circa 5 ml di acqua (se necessario aggiungere acido cloridrico diluito, HCl 2N) o etanolo. Aggiungere 1ml di reattivo di Dragendorff (Soluzione di tetraiodo-bismutato di potassio, K[Bi I4]), che è positiva se si osserva colorazione o ppt di colore giallo-arancio o rosso-arancio;;;21;1
