Molecola,SMILES,AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),AMMINE TERZIARIE (BOUCHARDAT),AMMINE TERZIARIE (DRAGENDORFF),AMMINE TERZIARIE (MAYER),AgNO3 (ALOGENURI),BASE SCHIFF (SULFAMIDICI),BEILSTEIN (FILO Cu),FILO Ni-Cr,"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",FeSO4 & H2SO4 (NITRATI),GRANDEZZE FISICHE (PUNTO FUSIONE),LASSAIGNE:ALOGENI,LASSAIGNE:AZOTO,LASSAIGNE:ZOLFO,NINIDRINA (AMINOACIDI),OSSIDAZIONE ACQUA DI BROMO,OSSIDAZIONE FEHLING,PROVA AL COCCIO,SOLUBILITA ACQUA,SOLUBILITA ETOH,SOLUBILITA HCL,SOLUBILITA NAOH
ACETILCISTEINA,CC(=O)N[C@@H](CS)C(=O)O,,,,,,,,,,,1,,1,1,,,,,1,,1,
ACIDO ACETILSALICILICO,CC(=O)OC1=CC=CC=C1C(=O)O,,,,,,,0,,1,,1,0,0,0,,,,1,1,1,,1
ACIDO ASCORBICO,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,,,,,0,,0,0,0,,1,,0,0,,1,0,1,1,,,
ACIDO BENZOICO,C1=CC=C(C=C1)C(=O)O,,,,,,,0,,1,,1,,0,0,,,,,1,,,1
ACIDO CITRICO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,,,,0,,0,0,0,,1,0,0,0,,,0,1,1,1,,
ACIDO NICOTINICO,C1=CC(=CN=C1)C(=O)O,,,,,0,,0,0,1,0,1,,1,0,0,,,1,1,,1,1
ACIDO SALICILICO,C1=CC=C(C(=C1)C(=O)O)O,,,,,,,0,,,,1,0,0,0,,,,1,1,,,
ACIDO SORBICO,C/C=C/C=C/C(=O)O,,,,,0,,0,,,,1,,0,0,,1,,1,0,1,0,1
ACIDO TANNICO,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H](C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,,,,,,,0,,1,,,,0,0,,,,1,1,1,1,1
ACIDO TARTARICO,[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,,,,,,,0,0,0,,1,,,,,,0,,1,,,
ALANINA,C[C@@H](C(=O)O)N,,,,,,,,,,,,,,,,,,,1,0,,
ASPARTAME,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,,,,,,,0,,,,,,1,0,1,,,1,1,,,
BENZOCAINA,CCOC(=O)C1=CC=C(C=C1)N,1,0,0,0,0,,0,,,0,1,,1,0,,,,1,0,,1,0
CAFFEINA,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,,,,0,,0,,,0,1,,1,0,0,1,,1,1,1,1,0
CALCIO GLICEROFOSFATO,C(C(CO)OP(=O)([O-])[O-])O,,,,,,,,1,0,,0,0,0,0,,,0,1,1,0,1,0
