Saggio,Molecola,Esito
AMMINE TERZIARIE (ACIDO CITRICO E ANIDRIDE ACETICA),FENOTIAZINA,NEGATIVO
ACIDO OSSALICO (ACETATI),PREDNISONE,NEGATIVO
ACIDO OSSALICO (ACETATI),SODIO CITRATO,NEGATIVO
ACIDO OSSALICO (ACETATI),IDROCORTISONE ACETATO,POSITIVO
ACIDO OSSALICO (ACETATI),SODIO ACETATO,POSITIVO
ACQUA DI BROMO (FENOTIAZINE),CLORPROMAZINA HCl,POSITIVO
ACQUA DI BROMO (FENOTIAZINE),PROMETAZINA HCl,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,CLORBUTANOLO,NEGATIVO
OSSIDAZIONE ACQUA DI BROMO,DAPSONE,NEGATIVO
OSSIDAZIONE ACQUA DI BROMO,IDROCORTISONE,NEGATIVO
OSSIDAZIONE ACQUA DI BROMO,METRONIDAZOLO,NEGATIVO
OSSIDAZIONE ACQUA DI BROMO,POTASSIO TARTRATO,NEGATIVO
OSSIDAZIONE ACQUA DI BROMO,ACIDO ASCORBICO,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,ACIDO SORBICO,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,CAFFEINA,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,CHINIDINA SOLFATO,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,IDROCLOROTIAZIDE,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,POTASSIO SORBATO,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,PROPIFENAZONE,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,SACCARINA SODICA,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,SULFADIAZINA,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,SULFAGUANIDINA,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,TEOBROMINA,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,TIAMINA HCl,POSITIVO
OSSIDAZIONE ACQUA DI BROMO,VANILLINA,POSITIVO
AgNO3 & NH4OH (FOSFATI),ACIDO NICOTINICO,NEGATIVO
AgNO3 & NH4OH (FOSFATI),BENZOCAINA,NEGATIVO
AgNO3 & NH4OH (FOSFATI),CALCIO PANTOTENATO,NEGATIVO
AgNO3 & NH4OH (FOSFATI),NICOTINAMIDE,NEGATIVO
AgNO3 & NH4OH (FOSFATI),SODIO CITRATO,NEGATIVO
AgNO3 & NH4OH (FOSFATI),SODIO P-AMMINO SALICILATO,NEGATIVO
AgNO3 & NH4OH (FOSFATI),CALCIO GLICEROFOSFATO,POSITIVO
AgNO3 & NH4OH (FOSFATI),DESAMETASONE SODIO FOSFATO,POSITIVO
AgNO3 (ALOGENURI),ACIDO ASCORBICO,NEGATIVO
AgNO3 (ALOGENURI),ACIDO CITRICO,NEGATIVO
AgNO3 (ALOGENURI),ACIDO NICOTINICO,NEGATIVO
AgNO3 (ALOGENURI),ACIDO SORBICO,NEGATIVO
AgNO3 (ALOGENURI),BENZOCAINA,NEGATIVO
AgNO3 (ALOGENURI),CAFFEINA,NEGATIVO
AgNO3 (ALOGENURI),CHINIDINA SOLFATO,NEGATIVO
AgNO3 (ALOGENURI),FENAZONE,NEGATIVO
AgNO3 (ALOGENURI),FENILALANINA,NEGATIVO
AgNO3 (ALOGENURI),FTALILSULFATIAZOLO,NEGATIVO
AgNO3 (ALOGENURI),GLICINA,NEGATIVO
AgNO3 (ALOGENURI),MANNITOLO,NEGATIVO
AgNO3 (ALOGENURI),METILPARABEN,NEGATIVO
AgNO3 (ALOGENURI),NICOTINAMIDE,NEGATIVO
AgNO3 (ALOGENURI),PROLINA,NEGATIVO
AgNO3 (ALOGENURI),PROPIFENAZONE,NEGATIVO
AgNO3 (ALOGENURI),SODIO CITRATO,NEGATIVO
AgNO3 (ALOGENURI),SULFADIAZINA,NEGATIVO
AgNO3 (ALOGENURI),SULFAMERAZINA,NEGATIVO
AgNO3 (ALOGENURI),TEOBROMINA,NEGATIVO
AgNO3 (ALOGENURI),CISTEINA HCl,POSITIVO
AgNO3 (ALOGENURI),CLORPROMAZINA HCl,POSITIVO
AgNO3 (ALOGENURI),DIFENIDRAMINA HCl,POSITIVO
AgNO3 (ALOGENURI),EFEDRINA HCl,POSITIVO
AgNO3 (ALOGENURI),IMIPRAMINA HCl,POSITIVO
AgNO3 (ALOGENURI),LIDOCAINA HCl,POSITIVO
AgNO3 (ALOGENURI),LISINA HCl,POSITIVO
AgNO3 (ALOGENURI),METFORMINA HCl,POSITIVO
AgNO3 (ALOGENURI),PROCAINA HCl,POSITIVO
AgNO3 (ALOGENURI),PROMETAZINA HCl,POSITIVO
AgNO3 (ALOGENURI),TIAMINA HCl,POSITIVO
AgNO3 (ALOGENURI),CLORBUTANOLO,POSITIVO
AgNO3 (ALOGENURI),ECONAZOLO NITRATO,POSITIVO
AgNO3 (ALOGENURI),FUROSEMIDE,POSITIVO
AgNO3 (XANTINE),CAFFEINA,NEGATIVO
AgNO3 (XANTINE),TEOBROMINA,POSITIVO
AgNO3 (XANTINE),TEOFILLINA,POSITIVO
BASE SCHIFF (SULFAMIDICI),CHINIDINA SOLFATO,NEGATIVO
BASE SCHIFF (SULFAMIDICI),IDROCLOROTIAZIDE,NEGATIVO
BASE SCHIFF (SULFAMIDICI),INDOMETACINA,NEGATIVO
BASE SCHIFF (SULFAMIDICI),SUCRALOSIO,NEGATIVO
BASE SCHIFF (SULFAMIDICI),TIAMINA HCl,NEGATIVO
BASE SCHIFF (SULFAMIDICI),FTALILSULFATIAZOLO,POSITIVO
BASE SCHIFF (SULFAMIDICI),SULFADIAZINA,POSITIVO
BASE SCHIFF (SULFAMIDICI),SULFAGUANIDINA,POSITIVO
BASE SCHIFF (SULFAMIDICI),SULFAMERAZINA,POSITIVO
BASE SCHIFF (SULFAMIDICI),SULFANILAMIDE,POSITIVO
BASE SCHIFF (SULFAMIDICI),SULFATIAZOLO,POSITIVO
BIURETO CUSO4 + HCL (CALCIO PANTOTENATO),CALCIO GLICEROFOSFATO,NEGATIVO
BIURETO CUSO4 + HCL (CALCIO PANTOTENATO),CALCIO LATTATO,NEGATIVO
BIURETO CUSO4 + HCL (CALCIO PANTOTENATO),POTASSIO TARTRATO,NEGATIVO
BIURETO CUSO4 + HCL (CALCIO PANTOTENATO),CALCIO PANTOTENATO,POSITIVO
SAGGIO BIURETO,METFORMINA HCl,NEGATIVO
SAGGIO BIURETO,PROCAINAMMIDE HCl,NEGATIVO
SAGGIO BIURETO,ACETILCISTEINA,POSITIVO
SAGGIO BIURETO,ALANINA,POSITIVO
SAGGIO BIURETO,FENILALANINA,POSITIVO
SAGGIO BIURETO,TREONINA,POSITIVO
BORACE & FENOLFTALEINA (POLIALCOLI),MANNITOLO,POSITIVO
BORACE & FENOLFTALEINA (POLIALCOLI),SACCAROSIO,POSITIVO
BORACE & FENOLFTALEINA (POLIALCOLI),SORBITOLO,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),BENZOCAINA,NEGATIVO
