Molecola,ACIDO CROMOTROPICO,ACIDO OSSALICO (ACETATI),ACQUA DI BROMO (FENOTIAZINE),AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE),AMMINE TERZIARIE (ACIDO CITRICO E ANIDRIDE ACETICA),AMMINE TERZIARIE (BOUCHARDAT),AMMINE TERZIARIE (DRAGENDORFF),AMMINE TERZIARIE (MAYER),AgNO3 & NH4OH (FOSFATI),AgNO3 (ALOGENURI),AgNO3 (XANTINE),BASE SCHIFF (SULFAMIDICI),BEILSTEIN (FILO Cu),BIURETO CUSO4 + HCL (CALCIO PANTOTENATO),BORACE & FENOLFTALEINA (POLIALCOLI),BOUCHARDAT IN AMB BASICO (CLORBUTANOLO),BOUCHARDAT IN AMB BASICO (LATTATI),CHEN-KAO (FENIL-ALCHIL-AMMINE),CLORAMMINA T & CH2Cl2 (BROMURI E IODURI),CLORAMMINA T (FENOTIAZINE),CORALINA (ALC ISOCHINOLINICI),CaCl2 IN AMB BASICO (CITRATI),DENIGES & KMnO4 (CITRATI),FENTON: FeSO4 + H2O2 (TARTRATI),FILO Ni-Cr,"FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …)",FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE),FeCl3-CONC (BENZOATI & SALICILATI),FeSO4 & H2SO4 (NITRATI),GIBBS (PIRIDOSSINA),GRANDEZZE FISICHE (PUNTO FUSIONE),H2SO4 & DILUIZIONE H2O (STEROIDI),H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI),HCl + BaCl2 (SOLFATI),HNO3 + AgNO3 (ACIDO ASCORBICO),HNO3-CONC (FENOTIAZINE),IDROSSILAMMINA (ESTERI & AMMIDI),LASSAIGNE:ALOGENI,LASSAIGNE:AZOTO,LASSAIGNE:FOSFORO,LASSAIGNE:ZOLFO,LIEBERMANN (FENOLI p-LIBERA),MILLON (FENOLI p-OCCUPATA),MOHLER (LATTATI E TARTRATI),MOLIBDICO & NH4OH (FOSFATI),MOLISCH (CARBOIDRATI),MURESSIDE (XANTINE),NH4OH & Na2HPO4 (MAGNESIO),NH4OH B.M. (LATTOSIO),NINIDRINA (AMINOACIDI),NaNO2 + H2SO4 (FENAZONE),ORGANOLETTICA,OSSALATO AMMONIO (CALCIO),OSSIDAZIONE ACQUA DI BROMO,OSSIDAZIONE FEHLING,OSSIDAZIONE KMnO4,PROVA AL COCCIO,RESORCINA & FLUORESCENZA (SACCARINA E SALI),RESORCINA + NaOH (CLORALIO IDRATO),RIDUZIONE GRUPPO NITRO (NO2-Ar),SAGGIO BIURETO,SAGGIO LEGAL (ACIDO ASCORBICO),SELIWANOFF (CHETOESOSI),SOLUBILITA ACQUA,SOLUBILITA ETOH,SOLUBILITA HCL,SOLUBILITA NAOH,SOLUBILITA NaHCO3,TALLEIOCHINA (ALC CHINOLINICI),TIOCROMO (TIAMINA HCl),TTC (STEROIDI),UREA & FLUORESCENZA (CITRATI),VANILLINA (ISONIAZIDE),VITALI-MORIN,ZINKE-KONIG (PIRIDINE)
ACETILCISTEINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDO ACETILSALICILICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDO ASCORBICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDO BENZOICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDO CITRICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ACIDO NICOTINICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ACIDO SALICILICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDO SORBICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDO TANNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIDO TARTARICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
