id;nome_saggio;smarts
3;ACIDO CROMOTROPICO;"[C;H1](=O)[H]"
4;ACIDO OSSALICO (ACETATI);C(=O)C(=O)
5;ACQUA DI BROMO (FENOTIAZINE);c1ccc2c(c1)[S]c1ccc([N]2)cc1
9;AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);"[$([a][N;H2]),$([a][N+](=O)[O-])]"
10;AMMINE TERZIARIE (ACIDO CITRICO E ANIDRIDE ACETICA);[NX3](C)(C)
11;AMMINE TERZIARIE (BOUCHARDAT);[NX3](C)(C)
12;AMMINE TERZIARIE (DRAGENDORFF);[NX3](C)(C)
13;AMMINE TERZIARIE (MAYER);[NX3](C)(C)
8;AgNO3 & NH4OH (FOSFATI);[PO4]
6;AgNO3 (ALOGENURI);[Cl,Br,I]
7;AgNO3 (XANTINE);c1ncnc2c1ncn2
2;Ammine primarie e NO2 aromatico;"[$([N;H2;X3]),$([a][N+](=O)[O-])]"
14;BASE SCHIFF (SULFAMIDICI);[C]=[N]
15;BEILSTEIN (FILO Cu);[Cl,Br,I,F]
16;BIURETO CUSO4 + HCL (CALCIO PANTOTENATO);C(=O)N
17;BORACE & FENOLFTALEINA (POLIALCOLI);"[O;H1][C][C][O;H1]"
18;BOUCHARDAT IN AMB BASICO (CLORBUTANOLO);"[CH3][C;H1]([OX2H])[C](Cl)(Cl)(Cl)"
19;BOUCHARDAT IN AMB BASICO (LATTATI);"[CH3][CH]([O;H1])[C](=O)[O;X1,X2]"
21;CHEN-KAO (FENIL-ALCHIL-AMMINE);"[a]-[CH2+]-[N;H1,H2]"
23;CLORAMMINA T & CH2Cl2 (BROMURI E IODURI);[Br,I]
22;CLORAMMINA T (FENOTIAZINE);c1ccc2c(c1)[S]c1ccc([N]2)cc1
24;CORALINA (ALC ISOCHINOLINICI);c1nccc2ccccc12
20;CaCl2 IN AMB BASICO (CITRATI);O=C(O)C(CO)(CO)C(=O)O
25;DENIGES & KMnO4 (CITRATI);O=C(O)C(CO)(CO)C(=O)O
29;FENTON: FeSO4 + H2O2 (TARTRATI);C(C(C(C(=O)[O,#6])O)O)C(=O)[O,#6]
31;FILO Ni-Cr;
26;FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);c[OH,O-]
27;FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE);n1n(C)c(c(C=O)c1)-c2ccccc2
28;FeCl3-CONC (BENZOATI & SALICILATI);[$(c1ccccc1C(=O)O),$(c1ccccc1C(=O)[O-]),$(c1ccccc1C(=O)O[#6]),$(c1cc(ccc1O)C(=O)O),$(c1cc(ccc1[O-])C(=O)O),$(c1cc(ccc1O)C(=O)O[#6])]
30;FeSO4 & H2SO4 (NITRATI);[N+](=O)([O-])[O-]
32;GIBBS (PIRIDOSSINA);c1cc(nc(c1)O)CO
33;GRANDEZZE FISICHE (PUNTO FUSIONE);
34;H2SO4 & DILUIZIONE H2O (STEROIDI);C1CCC2C(C1)CCC3C2CCC4C3C4
